Flag ID,Sex
256189204,F
256189237,F
CEPP24-1,M
CEPP28-1,M
CEPP29-1,F
CEPP30-1,M
CEPP34-1,F
CEPP34-2,M
CNWRHK09-1,M
CNWRHK10-1,M
CNWRHK11-1,F
CNWRHK13-1,M
CNWRHK14-1,F
CNWRHK15-1,M
CNWRHK16-1,F
CNWRHK17-1,M
CNWRHK17-2,F
CNWRHK18-1,M
CNWRHK19-1,M
CNWRHK19-2,F
CNWRHK20-1,F
CNWRHK21-1,F
CNWRNWF03-1,M
CNWRNWF04-1,M
CNWRNWF05-1,M
CNWRNWF05-2,F
CNWROV03-1,F
CNWROV05-1,M
CNWROV06-1,M
GF(1J3),M
GF(2YX),M
GF(3NJ),M
GF(3U5),F
GF(4KT),M
GF(5E7),M
GF(A7L),M
GF(CMV),M
GF(ENY),F
GF(HT8),M
GF(L1C),F
GF(LKT),M
GF(LNY),M
GF(PJ7),F
GF(TK7),F
GF(UPV),F
GF(V5J),M
GF(V9Y),F
GF(XUU),M
WOMAAP13-1,M
WOMAAP14-1,F
WOMAAP18-1,F
WOMAAP20-1,M
256189227,M
256189234,M
256189412,M
GF(00Y),M
GF(01P),F
GF(02H),M
GF(04T),F
GF(06),M
GF(08),F
GF(09),F
GF(0K6),F
GF(0K8),M
GF(0M0),F
GF(0MX),M
GF(0P5),M
GF(0T1),F
GF(0UL),F
GF(11V),M
GF(12M),F
GF(14X),F
GF(15J),M
GF(17),M
GF(19K),F
GF(1CT),F
GF(1EL),M
GF(1M3),F
GF(1VP),F
GF(22),F
GF(23),M
GF(24),M
GF(25),M
GF(27),F
GF(27P),F
GF(28),F
GF(29),F
GF(2A2),F
GF(2AN),F
GF(2C0),F
GF(2PA),M
GF(2PP),M
GF(2UN),M
GF(2X3),M
GF(30),F
GF(30Y),M
GF(3AT),M
GF(3AV),M
GF(3TV),M
GF(3U2),F
GF(3YL),F
GF(44H),F
GF(46C),M
GF(4AM),M
GF(4CY),M
GF(4EE),M
GF(4EP),M
GF(4EV),F
GF(4NY),F
GF(4UU),M
GF(4VE),M
GF(4VT),F
GF(4XL),M
GF(4Y2),M
GF(4YM),M
GF(5JJ),F
GF(5TH),M
GF(60M),F
GF(64),M
GF(65),F
GF(684),F
GF(6KK),M
GF(6UP),F
GF(6UY),M
GF(6X7),F
GF(6YL),F
GF(70E),M
GF(70T),M
GF(72),M
GF(7AL),F
GF(7EA),F
GF(7X1),M
GF(7XH),F
GF(82),M
GF(824),F
GF(83),M
GF(84),M
GF(841),F
GF(843),M
GF(85),M
GF(862),M
GF(865),F
GF(87),M
GF(88),M
GF(8E0),M
GF(8EN),M
GF(8L0),F
GF(8LT),F
GF(8YM),F
GF(90),M
GF(933),M
GF(97),F
GF(979),F
GF(98),F
GF(9N0),F
GF(9TV),M
GF(9V1),M
GF(9Y0),F
GF(A05),F
GF(A1Y),F
GF(A3L),F
GF(AET),F
GF(AHY),M
GF(ALX),M
GF(ANY),M
GF(ATJ),F
GF(ATV),F
GF(AX0),M
GF(C2K),M
GF(CC2),M
GF(CM1),F
GF(CMP),F
GF(CNY),F
GF(CU6),F
GF(CY4),F
GF(E2T),M
GF(E3Y),M
GF(E5P),M
GF(EAC),F
GF(EC9),M
GF(EE3),F
GF(EME),F
GF(EVU),F
GF(EVY),F
GF(EY5),M
GF(EYY),F
GF(H0J),M
GF(H0L),M
GF(H26),F
GF(H5E),M
GF(HAK),F
GF(HKE),F
GF(HN8),F
GF(HP0),M
GF(HTP),F
GF(J46),F
GF(JAL),F
GF(JCY),F
GF(JEK),F
GF(JKA),F
GF(JLP),F
GF(JUE),M
GF(JYJ),M
GF(JYL),F
GF(JYM),F
GF(K1P),M
GF(K56),M
GF(K71),F
GF(K7X),F
GF(K8V),F
GF(KK5),F
GF(L01),M
GF(L48),F
GF(L84),F
GF(LA1),F
GF(LA4),M
GF(LAP),M
GF(LAT),F
GF(LCC),M
GF(LEE),F
GF(LEX),M
GF(LLH),M
GF(LMT),M
GF(LYA),M
GF(M00),F
GF(M0C),M
GF(M0K),M
GF(M2V),F
GF(M9E),F
GF(MHY),M
GF(MMU),M
GF(MPP),F
GF(N08),F
GF(NE5),F
GF(NHJ),M
GF(NK0),M
GF(NLC),M
GF(NUC),F
GF(NUP),M
GF(NVJ),F
GF(NVM),M
GF(NX5),M
GF(NXN),M
GF(P0P),M
GF(PA6),M
GF(PC1),M
GF(PLV),F
GF(PNX),M
GF(PY3),M
GF(T00),M
GF(T9V),M
GF(TEE),M
GF(TJM),M
GF(TKL),F
GF(TML),F
GF(TNT),F
GF(TT8),F
GF(TUN),F
GF(TUP),F
GF(TXH),F
GF(TY5),M
GF(U6T),F
GF(U9N),F
GF(UHT),F
GF(ULK),F
GF(UNA),F
GF(VAM),M
GF(VM1),M
GF(VPA),M
GF(VX0),F
GF(X2U),M
GF(X2X),F
GF(XA0),F
GF(XEY),M
GF(XJP),F
GF(XNX),M
GF(XTY),M
GF(XU6),F
GF(XVN),F
GF(Y01),M
GF(Y0P),F
GF(Y0T),F
GF(Y13),F
GF(Y80),M
GF(Y99),M
GF(YEA),F
GF(YL0),F
GF(YNH),M
GF(YTV),F
LI001,F
LI002,M
LI003,F
LI012,F
LI023,F
LI024,M
LI038,F
LI040,F
001,F
002,F
003,F
004,M
005,F
007,M
008,M
00J,M
00R,F
00T,F
014,M
016,M
017,M
018,M
019,M
01K,M
01R,M
01S,F
020,M
021,F
022,M
023,F
025,M
026,M
029,F
02N,F
032,F
033,F
035,F
036,F
03C,F
03L,M
03N,F
03R,M
03S,F
03T,M
040,F
042,M
043,F
044,F
045,F
048,F
049,F
04K,M
04L,F
04N,F
04P,M
04S,F
050,F
051,F
052,M
053,M
054,F
055,M
056,F
057,M
059,F
05L,F
05M,F
05R,M
05S,F
05T,F
060,M
061,F
062,M
063,M
064,F
065,M
067,F
068,F
069,M
06L,M
06N,F
06P,M
06R,F
06S,F
06T,M
070,M
071,F
072,M
073,M
074,F
075,F
076,M
078,M
079,F
07C,M
07J,F
07L,F
07N,F
07P,F
07R,M
07T,F
07Y,F
080,F
081,M
082,F
083,M
085,F
086,M
087,M
089,M
08P,M
08T,M
090,M
091,F
092,F
095,M
096,F
098,F
099,F
09L,M
09N,M
09R,F
09S,F
09T,M
0A5,M
0A6,F
0A7,F
0A8,M
0A9,F
0B4,M
0C0,M
0C6,M
0C9,M
1,F
10,M
100,F
100120896,M
100120898,F
1003,M
1005,F
1006,F
101,M
1011,F
1015,M
103,M
1032,F
1037,F
104,M
1042,F
105,F
1057,M
1059,F
106,M
1067,M
1068,M
107,M
108,F
109,M
1090,M
1093,F
1094,F
1096,M
1097,F
10M,M
10N,M
10P,M
10W,M
11,F
1109,M
1111,M
1113,M
113,M
114,F
1152,F
1153,M
1156,F
1157,F
1158,M
1160,F
1165,F
117,M
1185,F
1193,M
1195,M
1198,F
11J,M
11K,M
11L,M
12,M
1205,F
121,M
1217,M
122,F
1221,F
1224,F
1225,M
1228,F
1238,F
1239,M
124,F
1253,F
1254,M
126,M
1261,F
1263,M
127,M
1278,M
1280,M
1289,F
129,F
1290,F
1298,F
12C,M
12L,F
12T,F
13,M
130,M
1301,M
1303,F
1307,M
1309,M
131,M
1311,M
1315,M
1317,F
1320,F
1321,M
1322,M
1324,M
1326,F
1328,M
1329,F
133,F
1333,M
1334,F
1336,M
1337,M
1338,M
1339,M
1340,F
1341,F
1346,F
1349,F
135,M
1359,F
1372,M
1379,M
1383,F
1385,F
1386,M
13C,M
13L,M
13S,M
13T,M
14,M
1402,F
1404,F
1412,M
1413,M
1417,F
1418,M
1421,M
1428,M
1431,M
1433,M
1434,M
1451,M
1457,F
146,F
147,F
1471,F
1473,F
1474,F
1475,F
1476,M
1477,M
1478,F
1479,F
1481,F
1483,M
14L,M
14T,M
15,F
150,F
1501,M
1503,F
1504,F
1507,M
1509,M
151,F
1510,M
1512,M
152,M
1526,M
1530,F
1534,F
1538,F
154,M
1540,F
1541,F
1546,F
1552,M
1567,M
1568,F
157,F
1574,M
1575,M
1582,M
1583,F
1587,M
1589,M
159,M
1590,M
1594,F
1595,F
1596,F
15K,M
15T,M
16,F
160,F
1605,F
161,F
1620,M
1627,F
1647,F
1650,F
1652,M
166,F
1667,M
1673,F
168,F
1682,M
1687,M
1691,M
1692,F
1697,F
16L,F
16N,M
16S,M
16T,M
17,M
1706,M
1709,F
1710,F
1714,M
1725,M
1726,M
173,M
1746,M
1747,M
1757,M
176,M
1769,M
1781,F
1788,F
1799,M
17C,M
18,M
1800,F
1804,M
1807,F
181,M
1816,M
182,M
1823,F
1826,F
1827,F
1829,M
183,F
1832,M
1835,F
1836,F
1837,F
1838,M
1840,F
1841,F
1842,M
1844,M
1845,M
1846,M
1847,M
1849,M
1850,M
1854,M
1857,F
1858,F
186,M
1862,F
1863,M
1864,M
1865,F
1867,M
1868,M
188,F
1882,M
1885,M
18K,M
18W,M
19,F
190,F
1903,M
1907,M
1908,F
1912,M
1917,M
1920,M
1927,M
195,F
1959,M
197,F
1970,F
198125708,M
198125725,F
1982,M
1983,F
1986,M
199,F
19911836,F
199191907,M
199192017,F
199192147,M
19D,F
19J,M
19L,F
19R,F
19T,M
1A0,M
1A2,M
1A6,F
1B7,F
1C8,M
1C9,M
2,F
20,M
200,M
2000,M
2004,M
2005,M
2020,M
2022,M
203,M
206,F
2061,M
2076,F
2096,M
20C,M
20D,M
20J,F
20K,F
20N,F
20P,F
20T,F
21,F
2103,M
2104,F
2108,M
211,F
2126,F
2129,M
2132,F
2133,M
2146,F
2149,M
215,M
2150,M
2156,F
2158,M
2174,M
2185,M
21H,F
21K,M
21L,F
21R,M
22,M
2203,M
2205,M
221101111,F
221101115,M
221129742,M
2212,M
2213,M
2217,M
223,M
223106229,F
2244,F
2259,M
2263,F
228,M
2285,M
2289,F
2295,F
2296,F
2299,M
22A,M
22K,M
22L,M
22T,F
23,M
2305,M
231,F
2322,M
2327,M
2379,F
2393,F
2398,M
23A,F
23C,F
23Y,F
24,M
2403,M
2411,F
242137482,F
242137507,F
243,M
2487,M
2488,M
249,M
24J,M
24L,F
24T,M
25,M
2514,M
2526,F
253196413,M
253196426,M
253196433,F
253196453,M
2541,M
2543,F
255,M
256,M
256151792,M
256152035,F
256152316,F
256190826,M
256190833,F
256191016,M
2575,M
2577,F
258,F
2580,M
25C,M
25D,F
25L,M
25T,F
25Z,F
26,F
2630,F
2649,M
2659,M
268,F
2687,M
2697,F
26A,M
26C,F
26E,F
26J,M
26L,M
26P,M
26R,F
26T,F
27,M
270,M
2714,F
2715,M
2719,M
2735,M
2741,F
2747,F
2754,F
276,M
2768,F
2769,M
27A,F
27C,M
27D,M
27L,M
27T,M
27Z,F
28,M
2800,M
281,M
2810,M
2813,F
2819,M
2821,F
283,F
284,F
2842,M
2847,F
2848,M
2851,F
2853,M
2856,M
2857,F
2858,F
286,F
2867,M
2869,F
2872,F
288,M
2891,M
2894,M
28C,F
28D,F
28L,M
28S,F
28T,M
2907,M
2928,F
2929,F
2936,F
2939,F
2941,F
2944,F
2948,F
2965,M
2969,F
2973,F
2978,M
2979,M
2981,F
2982,M
2983,M
2993,F
2994,F
29D,M
29E,F
29T,M
29X,F
2A0,F
2A8,F
2B6,F
2B8,F
3,M
305,M
309,F
30C,M
30S,M
30T,M
31A,M
31C,M
31D,M
31M,F
31S,F
31W,M
31X,M
32C,M
32E,M
32M,M
32S,M
32T,M
33M,M
33N,M
341,F
342,F
343,M
344,M
345,F
347,M
349,F
34P,F
34T,M
350,F
357,M
359,M
35T,M
360,F
361,F
362,M
363,M
364,M
365,F
366,F
368,F
369,F
36E,M
36N,F
36S,F
36T,M
37,F
370,F
372,F
373,F
374,M
375,M
377,F
378,M
379,M
37A,F
37C,M
37S,F
38,M
380,M
381,F
384,M
385,M
386,M
387,F
388,M
38C,M
