Key,Site,Survey,Date,Subsite,Species,Survey Start Time,Ocean Unbanded,Ocean Banded,Ocean Banded Unknown,Ocean Completely Unknown,Bay Unbanded,Bay Banded,Bay Banded Unknown,Bay Completely Unknown,Backshore/Interior Unbanded,Backshore/Interior Banded,Backshore Banded Unknown,Backshore Completely Unknown,Comments,Field2
1,FNS,,10-Apr-16,STP,AMOY,00-Jan-00,-,-,-,-,2,0,0,0,0,0,0,0,,
2,FNS,,10-Apr-16,DMP,AMOY,00-Jan-00,0,0,0,0,1,0,0,0,0,0,0,0,,
3,FNS,,19-Apr-16,STP,AMOY,00-Jan-00,-,-,-,-,0,0,0,0,2,0,0,0,,
4,FNS,,19-Apr-16,DMP,AMOY,00-Jan-00,0,0,0,0,3,0,0,0,0,0,0,0,,
5,FNS,,25-Apr-16,DMP,SAND,00-Jan-00,43,0,0,0,0,0,0,76,0,0,0,0,,
6,FNS,,25-Apr-16,DMP,BBPL,00-Jan-00,1,0,0,0,0,0,0,0,0,0,0,0,,
7,FNS,,25-Apr-16,DMP,AMOY,00-Jan-00,0,0,0,0,6,0,0,0,0,0,0,0,,
8,FNS,,04-May-16,OSS,SAND,00-Jan-00,15,0,0,0,-,-,-,-,-,,,,,
9,FNS,,04-May-16,OSS,AMOY,00-Jan-00,4,0,0,0,-,-,-,-,-,-,-,-,,
10,FNS,,04-May-16,DMP,BBPL,00-Jan-00,2,0,0,0,0,0,0,0,0,0,0,0,,
11,FNS,,04-May-16,DMP,SAND,00-Jan-00,51,0,0,0,26,0,0,0,0,0,0,0,,
12,FNS,,04-May-16,DMP,SEPL,00-Jan-00,3,0,0,0,0,0,0,0,0,0,0,0,,
13,FNS,,04-May-16,DMP,DUNL,00-Jan-00,1,0,0,0,0,0,0,0,0,0,0,0,,
14,FNS,,04-May-16,DMP,AMOY,00-Jan-00,2,0,0,0,2,0,0,0,2,0,0,0,,
15,FNS,,05-May-16,FLD3,AMOY,00-Jan-00,2,0,0,0,-,-,-,-,-,-,-,-,,
16,FNS,,05-May-16,FLD4,AMOY,00-Jan-00,2,0,0,0,-,-,-,-,-,-,-,-,,
17,FNS,,05-May-16,FLD4,SAND,00-Jan-00,1,0,0,0,-,-,-,-,-,-,-,-,,
18,FNS,,05-May-16,FLD5,-,00-Jan-00,0,0,0,0,-,-,-,-,-,-,-,-,,
19,FNS,,05-May-16,FIL,AMOY,00-Jan-00,1,0,0,0,-,-,-,-,-,-,-,-,,
20,FNS,,05-May-16,FIL,SAND,00-Jan-00,175,0,0,0,-,-,-,-,-,-,-,-,,
21,FNS,,09-May-16,OSS,-,00-Jan-00,0,0,0,0,-,-,-,-,-,-,-,-,,
22,FNS,,09-May-16,DMP,SAND,00-Jan-00,0,0,0,0,2,0,0,0,0,0,0,0,,
23,FNS,,09-May-16,DMP,AMOY,00-Jan-00,0,0,0,0,4,0,0,0,0,0,0,0,,
24,FNS,,09-May-16,DMP,WILL,00-Jan-00,0,0,0,0,1,0,0,0,0,0,0,0,,
25,FNS,,09-May-16,STP,WILL,00-Jan-00,-,-,-,-,2,0,0,0,0,0,0,0,,
26,FNS,,09-May-16,STP,AMOY,00-Jan-00,-,-,-,-,1,0,0,0,0,0,0,0,,
27,FNS,,09-May-16,FLD3,-,00-Jan-00,0,0,0,0,-,-,-,-,-,-,-,-,,
28,FNS,,09-May-16,FLD4,SAND,00-Jan-00,107,0,0,0,-,-,-,-,-,-,-,-,,
29,FNS,,09-May-16,FLD5,-,00-Jan-00,0,0,0,0,-,-,-,-,-,-,-,-,,
30,FNS,,09-May-16,FIL,SAND,00-Jan-00,222,0,0,0,-,-,-,-,-,-,-,-,,
31,FNS,,17-May-16,OSS,RUTU,00-Jan-00,1,0,0,0,-,-,-,-,-,-,-,-,,
32,FNS,,17-May-16,OSS,BBPL,00-Jan-00,1,0,0,0,-,-,-,-,-,-,-,-,,
33,FNS,,17-May-16,OSS,AMOY,00-Jan-00,2,0,0,0,-,-,-,-,-,-,-,-,,
34,FNS,,17-May-16,DMP,AMOY,00-Jan-00,2,0,0,0,2,0,0,0,0,0,0,0,,
35,FNS,,17-May-16,DMP,SAND,00-Jan-00,4,0,0,0,0,0,0,0,0,0,0,0,,
36,FNS,,17-May-16,DMP,COTE,00-Jan-00,2,0,0,0,2,0,0,0,0,0,0,0,,
