Site,Survey,Date,Subsite,Species,Total,Habitat,Year
FNS,,8/7/2016,DMP,REKN,1,Ocean,2016
FNS,2,4/19/2016,CSB,REKN,1,Bay,2016
FNS,3,4/28/2016,CSB,REKN,1,Bay,2016
FNS,5,5/10/2016,CSB,REKN,2,Bay,2016
FNS,5,5/12/2016,OIW,REKN,14,Bay,2016
FNS,6,5/18/2016,CSB,REKN,2,Bay,2016
FNS,7,5/25/2016,FS,REKN,40,Bay,2016
FNS,7,5/25/2016,OIW,REKN,1,Bay,2016
FNS,8,6/1/2016,CMF,REKN,1,Bay,2016
FNS,8,6/3/2016,FS,REKN,5,Bay,2016
FNS,9,6/6/2016,PSO,REKN,2,Bay,2016
FNS,9,6/7/2016,OIW,REKN,6,Bay,2016
FNS,10,6/14/2016,OIW,REKN,2,Bay,2016
FNS,10,6/15/2016,CSB,REKN,5,Bay,2016
FNS,11,6/24/2016,FS,REKN,2,Bay,2016
FNS,15,7/20/2016,OIW,REKN,22,Bay,2016
FNS,15,7/24/2016,CSB,REKN,17,Bay,2016
FNS,16,7/26/2016,CSB,REKN,11,Bay,2016
FNS,16,7/29/2016,OIW,REKN,4,Bay,2016
FNS,17,7/31/2016,CSB,REKN,13,Bay,2016
FNS,17,8/1/2016,OIW,REKN,19,Bay,2016
FNS,18,8/2/2016,OIW,REKN,16,Bay,2016
FNS,18,8/2/2016,CSB,REKN,7,Bay,2016
FNS,20,8/11/2016,OIW,REKN,3,Bay,2016
FNS,20,8/11/2016,CSB,REKN,8,Bay,2016
FNS,21,8/15/2016,CSB,REKN,17,Bay,2016
FNS,22,8/17/2016,CSB,REKN,17,Bay,2016
FNS,22,8/18/2016,SPTE,REKN,1,Ocean,2016
FNS,22,8/19/2016,OIW,REKN,4,Bay,2016
FNS,22,8/19/2016,FS,REKN,3,Bay,2016
FNS,23,8/24/2016,CSB,REKN,31,Bay,2016
FNS,24,8/26/2016,CSB,REKN,43,Bay,2016
FNS,24,8/26/2016,CMF,REKN,1,Bay,2016
FNS,25,8/30/2016,CSB,REKN,49,Bay,2016
FNS,25,8/31/2016,SPTE,REKN,18,Ocean,2016
FNS,26,9/8/2016,CSW,REKN,3,Bay,2016
