KEY,Site,Subsite,Date,Time In,Time Out,Species,Capture Code,Alternate ID,Flag ID,ULU,ULL,LLU,LLL,URU,URL,LRU,LRL,Observer,Comments,Habitat Type,Geographic Location,Substrate,Behavior,Waypoint ID,GPS ID
76895,FNS,CMF,8/7/2014,1:10:00 PM,1:14:00 PM,REKN,S,-,-,-,MF(659),-,-,-,-,-,-,ADW,,IT,B,W,FR,572,LI04
76894,FNS,CMF,8/7/2014,1:24:00 PM,1:27:00 PM,REKN,S,OF(LYM),-,-,OF(LYM),-,-,-,X,-,-,ELB,,IT,B,W,FR,583,LI05
76923,FNS,CMF,8/15/2014,7:08:00 AM,7:14:00 AM,REKN,S,OF(LMY),-,-,OF(LMY),-,-,-,X,-,-,ELB,,IT,B,W,FR,585,LI04
77032,FNS,CMF,8/25/2014,5:15:00 PM,5:22:00 PM,REKN,S,-,-,-,MF(Y08),-,-,-,-,-,X,"WTR,ELB",,IT,B,W,FR,423,LI07
99688,FNS,CMF,7/30/2017,9:46:00 AM,9:47:00 AM,REKN,S,-,-,-,-,-,-,-,OF(LU2),-,-,SMS,"ORANGE FLAG, BLACK WRITING",,B,IT,L,,
99670,FNS,CMF,7/30/2017,10:00:00 AM,10:01:00 AM,REKN,S,-,-,-,GF(CLL),-,-,-,-,-,-,SMS,"GREEN FLAG, WHITE WRITING",,B,IT,FR,,
99675,FNS,CMF,7/30/2017,10:00:00 AM,10:01:00 AM,REKN,S,-,-,-,GF(EVA),-,-,-,-,-,-,SMS,"GREEN FLAG, WHITE WRITING",,B,IT,FR,,
99671,FNS,CMF,7/30/2017,10:00:00 AM,10:01:00 AM,REKN,S,-,-,-,GF(NLM),-,-,-,-,-,-,SMS,"GREEN FLAG, WHITE WRITING",,B,IT,FR,,
99674,FNS,CMF,7/30/2017,10:00:00 AM,10:01:00 AM,REKN,S,-,-,-,MF(5VE),-,-,-,-,-,-,SMS,"LIGHT GREEN FLAG, WHITE WRITING",,B,IT,FR,,
99672,FNS,CMF,7/30/2017,10:00:00 AM,10:01:00 AM,REKN,S,-,-,-,MF(846),-,-,-,-,-,-,SMS,"LIGHT GREEN FLAG, WHITE WRITING",,B,IT,FR,,
99673,FNS,CMF,7/30/2017,10:00:00 AM,10:01:00 AM,REKN,S,-,-,-,MF(90U),-,-,-,-,-,-,SMS,"LIGHT GREEN FLAG, WHITE WRITING",,B,IT,FR,,
99915,FNS,CMF,8/1/2017,11:07:00 AM,11:08:00 AM,REKN,S,-,-,-,-,-,-,-,OF(LU2),-,-,SMS,,,B,IT,FR,,
99919,FNS,CMF,8/1/2017,11:07:00 AM,11:08:00 AM,REKN,S,-,-,-,-,-,-,-,WF(CTC),-,-,SMS,,,B,IT,FR,,
99917,FNS,CMF,8/1/2017,11:07:00 AM,11:08:00 AM,REKN,S,-,-,-,GF(CLL),-,-,-,-,-,-,SMS,,,B,IT,FR,,
99912,FNS,CMF,8/1/2017,11:07:00 AM,11:08:00 AM,REKN,S,-,-,-,GF(EVA),-,-,-,-,-,-,SMS,,,B,IT,FR,,
99913,FNS,CMF,8/1/2017,11:07:00 AM,11:08:00 AM,REKN,S,-,-,-,GF(NLM),-,-,-,-,-,-,KMW,,,B,IT,FR,,
99914,FNS,CMF,8/1/2017,11:07:00 AM,11:08:00 AM,REKN,S,-,-,-,MF(2VP),-,-,-,-,-,-,KMW,,,B,IT,FR,,
99916,FNS,CMF,8/1/2017,11:07:00 AM,11:08:00 AM,REKN,S,MF(5VE),-,-,MF(5VE),-,-,-,-,-,X,SMS,,,B,IT,FR,,
99911,FNS,CMF,8/1/2017,11:01:00 AM,11:02:00 AM,REKN,S,-,-,-,MF(63L),-,-,-,-,-,-,SMS,,,B,IT,FR,,
99920,FNS,CMF,8/1/2017,11:07:00 AM,11:08:00 AM,REKN,S,-,-,-,MF(846),-,-,-,-,-,-,SMS,,,B,IT,FR,,
99918,FNS,CMF,8/1/2017,11:07:00 AM,11:08:00 AM,REKN,S,MF(90U),-,-,MF(90U),-,-,-,-,-,X,SMS,,,B,IT,FR,,
100008,FNS,CMF,8/17/2017,10:45:00 AM,10:46:00 AM,REKN,S,-,-,-,CF(A9V),-,-,-,-,-,-,SMS,SUPER FADED FLAG,,B,IT,FR,,
76836,FNS,CSB,8/4/2014,8:30:00 AM,8:33:00 AM,REKN,S,-,-,-,MF(51A),-,-,-,W,-,-,ADW,,FS,B,W,FR,571,LI05
76928,FNS,CSB,8/15/2014,8:10:00 AM,8:13:00 AM,REKN,S,-,-,-,MF(95P),-,-,-,-,-,-,ELB,,FS,B,W,FR,579,LI04
76985,FNS,CSB,8/20/2014,10:50:00 AM,10:51:00 AM,REKN,S,-,-,-,GF(AAP),-,-,-,-,-,-,ELB,,IT,B,W,FR,590,LI04
76987,FNS,CSB,8/20/2014,10:50:00 AM,11:15:00 AM,REKN,S,-,-,-,MF(4NL),-,-,-,-,-,-,ELB,,IT,B,W,FR,591,LI04
76989,FNS,CSB,8/20/2014,10:50:00 AM,11:15:00 AM,REKN,S,-,-,-,MF(4PT),-,-,-,-,-,-,"ELB, ADW",,IT,B,W,FR,591,LI04
76990,FNS,CSB,8/20/2014,10:50:00 AM,11:15:00 AM,REKN,S,-,-,-,MF(659),-,-,-,-,-,-,ELB,,IT,B,W,FR,591,LI04
76988,FNS,CSB,8/20/2014,10:50:00 AM,11:15:00 AM,REKN,S,-,-,-,MF(6E8),-,-,-,-,-,-,ELB,,IT,B,W,FR,591,LI04
76986,FNS,CSB,8/20/2014,10:50:00 AM,11:15:00 AM,REKN,S,-,-,-,MF(95P),-,-,-,-,-,-,ELB,,IT,B,W,FR,591,LI04
76993,FNS,CSB,8/20/2014,10:50:00 AM,11:15:00 AM,REKN,S,-,-,-,MF(9N1),-,-,-,-,-,-,ADW,,IT,B,W,FR,591,LI04
