Key,Site,Subsite,Date,Time In,Adult Survey,Adult Resighting,Nest Search,Target Nest Check,Chick Recap/Resight,Mapping,Time Out,Initial Chick Capture,Adult Trapping,Camera Place/Remove,Invertebrate Sampling,# Unbanded,# Banded Unk,# Scopes,Observers,Comments,Windspeed In,Windspeed Out,Temp In,Temp Out,Average Temp,Trapping,Chick Capture,Hab Sample,Behavior,Total PIPL,# Banded,No Visible Oil,Trace (<5%),Light (6-20%),Moderate (21-40%),Heavy (>40%),Debilitated,Oil Smell,Oil in Water,Oil on Land,Complete?,Clean-up Efforts?,Other Disturbances?,Tide,Waypoint,Pictures Taken?,# People,# Dogs,# Vehicles,Species,Worm Pulled,Survey Location,Shorebird Survey,Survey,# Unknown,Ocean,Bay/Backshore,# LDOG,# ODOG,Radio Telemetry
15712,FNS,NBE,24-May-13,10:44,X,X,-,-,-,-,11:10,-,-,,-,9,0,0,1,BACKSHORE SURVEY,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,REKN,N,B,X,,,,,,,
15713,FNS,LFS,19-Jul-13,8:50,X,X,-,-,-,-,8:55,-,-,,-,12,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,REKN,N,FLOOD SHOAL,X,,,,,,,
15714,FNS,NBW,07-Aug-13,11:10,X,X,-,-,-,-,11:42,-,-,,-,17,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,REKN,N,B,X,,,,,,,
15715,FNS,SPTE,21-Aug-13,9:59,X,X,-,-,-,-,10:30,-,-,,-,12,0,1,1,SEEN ON OCEAN,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,REKN,N,BOTH,X,,,,,,,
20720,FNS,FS,07-Jun-14,7:11,-,-,-,-,-,-,7:20,-,-,-,-,5,0,1,1,[OCEAN/BAY FIELDS POPULATED FROM SURVEY LOCATION - JDM 2/16],,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,REKN,,BOTH,X,9,,0,5,,,
20741,FNS,FS,12-Jun-14,10:54,-,-,-,-,-,-,10:59,-,-,-,-,14,0,1,1,[OCEAN/BAY FIELDS POPULATED FROM SURVEY LOCATION - JDM 2/16],,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,REKN,,BOTH,X,,,0,14,,,
20926,FNS,CMF,22-Jul-14,9:45,X,X,-,-,-,-,13:50,-,-,-,-,1,0,1,1,[OCEAN/BAY FIELDS POPULATED FROM SURVEY LOCATION - JDM 2/16],,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,REKN,,BOTH,X,15,,0,1,,,
21116,FNS,FS,18-Aug-14,8:03,X,X,-,-,-,-,8:41,-,-,-,-,11,0,1,1,[OCEAN/BAY FIELDS POPULATED FROM SURVEY LOCATION - JDM 2/16],,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,REKN,,BOTH,X,20,,0,11,,,
21430,FNS,FS,06-Jun-14,7:11,X,X,-,-,-,-,7:18,-,-,-,-,8,0,2,2,[OCEAN/BAY FIELDS POPULATED FROM SURVEY LOCATION - JDM 2/16],,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,REKN,,BOTH,X,,,0,8,,,
21448,FNS,NBE,06-Jun-14,11:10,X,X,X,-,-,-,11:34,-,-,-,-,1,0,2,2,BAY [OCEAN/BAY FIELDS POPULATED FROM SURVEY LOCATION - JDM 2/16],,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,REKN,,BOTH,X,9,,0,1,,,
21476,FNS,FS,10-Jun-14,6:55,-,-,-,-,-,-,7:10,-,-,-,-,22,0,2,2,[OCEAN/BAY FIELDS POPULATED FROM SURVEY LOCATION - JDM 2/16],,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,REKN,,BOTH,X,,,0,22,,,
22176,FNS,CSB,29-Jul-14,16:34,X,X,-,-,-,-,17:50,-,-,-,-,7,0,2,2,[OCEAN/BAY FIELDS POPULATED FROM SURVEY LOCATION - JDM 2/16],,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,REKN,,BOTH,X,16,,0,7,,,
22290,FNS,CSB,07-Aug-14,11:13,X,X,-,-,-,-,12:28,-,-,-,-,27,0,2,2,2 DOGS [OCEAN/BAY FIELDS POPULATED FROM SURVEY LOCATION - JDM 2/16],,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,REKN,,BOTH,X,17.5,,0,27,,,
22297,FNS,CMF,07-Aug-14,12:35,X,X,-,-,-,-,13:49,-,-,-,-,22,0,2,2,[OCEAN/BAY FIELDS POPULATED FROM SURVEY LOCATION - JDM 2/16],,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,REKN,,BOTH,X,17.5,,0,22,,,
22452,FNS,SPTE,14-Aug-14,9:26,X,X,-,-,-,-,10:04,-,-,-,-,19,0,0,2,[OCEAN/BAY FIELDS POPULATED FROM SURVEY LOCATION - JDM 2/16],,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,REKN,,BOTH,X,19,,19,0,,,
22533,FNS,FS,21-Aug-14,12:14,X,X,-,-,-,-,12:51,-,-,-,-,3,0,2,2,[OCEAN/BAY FIELDS POPULATED FROM SURVEY LOCATION - JDM 2/16],,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,REKN,,B,X,21,,-,3,,,
22551,FNS,CSB,11-Aug-14,14:43,X,X,-,-,-,-,16:00,-,-,-,-,48,0,2,2,[OCEAN/BAY FIELDS POPULATED FROM SURVEY LOCATION - JDM 2/16],,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,REKN,,BOTH,X,18,,0,48,,,
22577,FNS,CSB,20-Aug-14,9:42,X,X,-,-,-,-,11:24,-,-,-,-,112,0,2,2,[OCEAN/BAY FIELDS POPULATED FROM SURVEY LOCATION - JDM 2/16],,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,REKN,,BOTH,X,20,,0,112,,,
22664,FNS,SPTE,29-Aug-14,10:25,X,X,-,-,-,-,10:57,-,-,-,-,15,0,0,2,[OCEAN/BAY FIELDS POPULATED FROM SURVEY LOCATION - JDM 2/16],,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,REKN,,BOTH,X,23,,15,0,,,
