Key,Site,Survey,Date,Subsite,Species,Total,Total.Ocean,Total.Bay,Total,Ocean Unbanded,Ocean Banded,Ocean Banded Unknown,Ocean Completely Unknown,Bay Unbanded,Bay Banded,Bay Banded Unknown,Bay Completely Unknown,Backshore/Interior Unbanded,Backshore/Interior Banded,Backshore Banded Unknown,Backshore Completely Unknown,Comments,Field2
217,FNS,,07-Aug-16,DMP,REKN,,,,,1,0,0,0,0,0,0,0,0,0,0,0,,
335,FNS,2,19-Apr-16,CSB,REKN,,,,,-,-,-,-,1,0,0,0,-,-,-,-,,
393,FNS,3,28-Apr-16,CSB,REKN,,,,,-,-,-,-,1,0,0,0,-,-,-,-,,
455,FNS,5,10-May-16,CSB,REKN,,,,,-,-,-,-,2,0,0,0,-,-,-,-,,
517,FNS,5,12-May-16,OIW,REKN,,,,,0,0,0,0,14,0,0,0,-,-,-,-,,
573,FNS,6,18-May-16,CSB,REKN,,,,,-,-,-,-,2,0,0,0,-,-,-,-,,
589,FNS,7,25-May-16,FS,REKN,,,,,-,-,-,-,0,0,0,40,-,-,-,-,,
598,FNS,7,25-May-16,OIW,REKN,,,,,0,0,0,0,1,0,0,0,-,-,-,-,,
679,FNS,8,01-Jun-16,CMF,REKN,,,,,-,-,-,-,1,0,0,0,-,-,-,-,,
744,FNS,8,03-Jun-16,FS,REKN,,,,,-,-,-,-,5,0,0,0,-,-,-,-,,
778,FNS,9,06-Jun-16,PSO,REKN,,,,,-,-,-,-,2,0,0,0,0,0,0,0,,
790,FNS,9,07-Jun-16,OIW,REKN,,,,,-,-,-,-,6,0,0,0,-,-,-,-,,
804,FNS,10,14-Jun-16,OIW,REKN,,,,,-,-,-,-,2,0,0,0,-,-,-,-,,
821,FNS,10,15-Jun-16,CSB,REKN,,,,,-,-,-,-,5,0,0,0,-,-,-,-,,
873,FNS,11,24-Jun-16,FS,REKN,,,,,-,-,-,-,0,0,0,2,-,-,-,-,,
1078,FNS,15,20-Jul-16,OIW,REKN,,,,,-,-,-,-,21,0,1,0,-,-,-,-,LEFT RED FLAG,
1135,FNS,15,24-Jul-16,CSB,REKN,,,,,-,-,-,-,17,0,0,0,-,-,-,-,,
1138,FNS,16,26-Jul-16,CSB,REKN,,,,,-,-,-,-,11,0,0,0,-,-,-,-,,
1177,FNS,16,29-Jul-16,OIW,REKN,,,,,-,-,-,-,4,0,0,0,-,-,-,-,,
1249,FNS,17,31-Jul-16,CSB,REKN,,,,,-,-,-,-,13,0,0,0,-,-,-,-,,
1289,FNS,17,01-Aug-16,OIW,REKN,,,,,-,-,-,-,19,0,0,0,-,-,-,-,,
1321,FNS,18,02-Aug-16,OIW,REKN,,,,,-,-,-,-,16,0,0,0,-,-,-,-,,
1330,FNS,18,02-Aug-16,CSB,REKN,,,,,-,-,-,-,7,0,0,0,-,-,-,-,,
1529,FNS,20,11-Aug-16,OIW,REKN,,,,,-,-,-,-,3,0,0,0,-,-,-,-,,
1547,FNS,20,11-Aug-16,CSB,REKN,,,,,-,-,-,-,8,0,0,0,-,-,-,-,,
1569,FNS,21,15-Aug-16,CSB,REKN,,,,,-,-,-,-,17,0,0,0,-,-,-,-,,
1653,FNS,22,17-Aug-16,CSB,REKN,,,,,-,-,-,-,17,0,0,0,-,-,-,-,,
1702,FNS,22,18-Aug-16,SPTE,REKN,,,,,1,0,0,0,-,-,-,-,0,0,0,0,,
1732,FNS,22,19-Aug-16,OIW,REKN,,,,,0,0,0,0,4,0,0,0,-,-,-,-,,
1748,FNS,22,19-Aug-16,FS,REKN,,,,,-,-,-,-,3,0,0,0,-,-,-,-,,
1792,FNS,23,24-Aug-16,CSB,REKN,,,,,,-,-,-,31,0,0,0,-,-,-,-,,
1837,FNS,24,26-Aug-16,CSB,REKN,,,,,-,-,-,-,43,0,0,0,-,-,-,-,,
1850,FNS,24,26-Aug-16,CMF,REKN,,,,,-,-,-,-,1,0,0,0,-,-,-,-,,
1921,FNS,25,30-Aug-16,CSB,REKN,,,,,-,-,-,-,49,0,0,0,-,-,-,-,,
1965,FNS,25,31-Aug-16,SPTE,REKN,,,,,18,0,0,0,-,-,-,-,0,0,0,0,,
2027,FNS,26,08-Sep-16,CSW,REKN,,,,,0,0,0,0,3,0,0,0,0,0,0,0,,
2039,FNS,26,08-Sep-16,CSB,REKN,,,,,-,-,-,-,65,0,0,0,-,-,-,-,,
2078,FNS,27,10-Sep-16,CSB,REKN,,,,,-,-,-,-,24,0,0,0,-,-,-,-,,
2127,FNS,28,15-Sep-16,CSB,REKN,,,,,-,-,-,-,12,0,0,0,-,-,-,-,,
2222,FNS,29,21-Sep-16,CSB,REKN,,,,,-,-,-,-,42,0,0,0,-,-,-,-,,
2256,FNS,30,25-Sep-16,CSB,REKN,,,,,-,-,-,-,23,0,0,0,-,-,-,-,,
