Key,Site,Survey,Date,Subsite,Species,Total,Habitat
217,FNS,,8/7/2016,DMP,REKN,1,Ocean
335,FNS,2,4/19/2016,CSB,REKN,1,Bay
393,FNS,3,4/28/2016,CSB,REKN,1,Bay
455,FNS,5,5/10/2016,CSB,REKN,2,Bay
517,FNS,5,5/12/2016,OIW,REKN,14,Bay
573,FNS,6,5/18/2016,CSB,REKN,2,Bay
589,FNS,7,5/25/2016,FS,REKN,40,Bay
598,FNS,7,5/25/2016,OIW,REKN,1,Bay
679,FNS,8,6/1/2016,CMF,REKN,1,Bay
744,FNS,8,6/3/2016,FS,REKN,5,Bay
778,FNS,9,6/6/2016,PSO,REKN,2,Bay
790,FNS,9,6/7/2016,OIW,REKN,6,Bay
804,FNS,10,6/14/2016,OIW,REKN,2,Bay
821,FNS,10,6/15/2016,CSB,REKN,5,Bay
873,FNS,11,6/24/2016,FS,REKN,2,Bay
1078,FNS,15,7/20/2016,OIW,REKN,22,Bay
1135,FNS,15,7/24/2016,CSB,REKN,17,Bay
1138,FNS,16,7/26/2016,CSB,REKN,11,Bay
1177,FNS,16,7/29/2016,OIW,REKN,4,Bay
1249,FNS,17,7/31/2016,CSB,REKN,13,Bay
1289,FNS,17,8/1/2016,OIW,REKN,19,Bay
1321,FNS,18,8/2/2016,OIW,REKN,16,Bay
1330,FNS,18,8/2/2016,CSB,REKN,7,Bay
1529,FNS,20,8/11/2016,OIW,REKN,3,Bay
1547,FNS,20,8/11/2016,CSB,REKN,8,Bay
1569,FNS,21,8/15/2016,CSB,REKN,17,Bay
1653,FNS,22,8/17/2016,CSB,REKN,17,Bay
1702,FNS,22,8/18/2016,SPTE,REKN,1,Ocean
1732,FNS,22,8/19/2016,OIW,REKN,4,Bay
1748,FNS,22,8/19/2016,FS,REKN,3,Bay
1792,FNS,23,8/24/2016,CSB,REKN,31,Bay
1837,FNS,24,8/26/2016,CSB,REKN,43,Bay
1850,FNS,24,8/26/2016,CMF,REKN,1,Bay
1921,FNS,25,8/30/2016,CSB,REKN,49,Bay
1965,FNS,25,8/31/2016,SPTE,REKN,18,Ocean
2027,FNS,26,9/8/2016,CSW,REKN,3,Bay
2039,FNS,26,9/8/2016,CSB,REKN,65,Bay
2078,FNS,27,9/10/2016,CSB,REKN,24,Bay
2127,FNS,28,9/15/2016,CSB,REKN,12,Bay
2222,FNS,29,9/21/2016,CSB,REKN,42,Bay
2256,FNS,30,9/25/2016,CSB,REKN,23,Bay
